evidence_id,source_repository,source_commit,source_path,public_path,wrapper_path,source_sha256,source_size,public_sha256,public_size,evidence_type,primary_technology,technology_relationships,logical_destination,publication_classification,supported_claims,collection_context
"m365-conditional-access-evidence-c70111e0ec9bfaa1","fontenotjeremy71-hub/jeremyfontenot","c88894f089e82dba5eb851c82aad703c1af34af2","evidence-library/conditional-access/conditional-access-baseline-evidence.md","evidence-library/conditional-access/conditional-access-baseline-evidence.md","","ba0051344210257e6b536b65ba658047711cb8e8481383fdf48196d9cd563c6c","504","ba0051344210257e6b536b65ba658047711cb8e8481383fdf48196d9cd563c6c","504","configuration","security-compliance","security-compliance","content/microsoft-365/security-compliance/evidence/configuration/conditional-access-evidence/evidence-library/conditional-access/conditional-access-baseline-evidence.md","public-original","m365-security-policy-review","Published Conditional Access evidence. The tracked public artifact remains at its established route and is logically organized without moving or rewriting it."
"m365-cross-cutting-evidence-governance-031acd4c7ab33dd2","fontenotjeremy71-hub/jeremyfontenot","d943a215d1fa3235c59b3087b83eabd9ca3793d9","evidence-library/integrity/evidence-hashes.json","evidence-library/integrity/evidence-hashes.json","","42e224ad73a2eebadb980c9fd076bd8abeda6078262eae3af1c95c59661be801","307806","42e224ad73a2eebadb980c9fd076bd8abeda6078262eae3af1c95c59661be801","307806","exports","automation","automation","content/microsoft-365/automation/evidence/exports/cross-cutting-evidence-governance/evidence-library/integrity/evidence-hashes.json","public-original","m365-evidence-governance","Published cross-cutting integrity manifest containing Microsoft 365 artifact hashes. The tracked public artifact remains at its established route and is logically organized without moving or rewriting it."
"m365-cross-cutting-evidence-governance-2d8269a5669d9e8b","fontenotjeremy71-hub/jeremyfontenot","c88894f089e82dba5eb851c82aad703c1af34af2","evidence-library/index.html","evidence-library/index.html","","f18cfe14df908b13d06eb319c397b5807af817f8c86e62a7b0378f60ddcc103f","6281","f18cfe14df908b13d06eb319c397b5807af817f8c86e62a7b0378f60ddcc103f","6281","documentation","automation","automation|entra-id|tenant-administration","content/microsoft-365/automation/documentation/cross-cutting-evidence-governance/evidence-library/index.html","public-original","m365-evidence-governance","Established Microsoft 365 and Entra evidence-library landing route. The tracked public artifact remains at its established route and is logically organized without moving or rewriting it."
"m365-cross-cutting-evidence-governance-3e90b32ecc86e8d0","fontenotjeremy71-hub/jeremyfontenot","c88894f089e82dba5eb851c82aad703c1af34af2","evidence-library/governance/evidence-claim-governance-standard-2026.md","evidence-library/governance/evidence-claim-governance-standard-2026.md","","61d957dbd524ffa446ec110197a15a2fd2c09ac454ad92327541004249290bdf","940","61d957dbd524ffa446ec110197a15a2fd2c09ac454ad92327541004249290bdf","940","documentation","automation","automation","content/microsoft-365/automation/documentation/cross-cutting-evidence-governance/evidence-library/governance/evidence-claim-governance-standard-2026.md","public-original","m365-evidence-governance","Published evidence-claim governance standard covering Microsoft 365 claim boundaries. The tracked public artifact remains at its established route and is logically organized without moving or rewriting it."
"m365-cross-cutting-evidence-governance-42b4ccd7b57387b6","fontenotjeremy71-hub/jeremyfontenot","c88894f089e82dba5eb851c82aad703c1af34af2","evidence-library/README.md","evidence-library/README.md","","17c538a912d226c6d83c836d29c858af55e5994649972a0971683b4e038d3956","2532","17c538a912d226c6d83c836d29c858af55e5994649972a0971683b4e038d3956","2532","documentation","automation","automation","content/microsoft-365/automation/documentation/cross-cutting-evidence-governance/evidence-library/README.md","public-original","m365-evidence-governance","Published evidence-library overview containing Microsoft 365 collection relationships. The tracked public artifact remains at its established route and is logically organized without moving or rewriting it."
"m365-cross-cutting-evidence-governance-480a4f5cab4389dd","fontenotjeremy71-hub/jeremyfontenot","c88894f089e82dba5eb851c82aad703c1af34af2","evidence-library/projects/README.md","evidence-library/projects/README.md","","1021a819ebede8b30656872f424af927671d0f2a935054af87a79407ea794cef","1379","1021a819ebede8b30656872f424af927671d0f2a935054af87a79407ea794cef","1379","documentation","automation","automation","content/microsoft-365/automation/documentation/cross-cutting-evidence-governance/evidence-library/projects/README.md","public-original","m365-evidence-governance","Published project collection index containing Microsoft 365 evidence relationships. The tracked public artifact remains at its established route and is logically organized without moving or rewriting it."
"m365-cross-cutting-evidence-governance-8937b669c06a51fb","fontenotjeremy71-hub/jeremyfontenot","c88894f089e82dba5eb851c82aad703c1af34af2","evidence-library/skills/README.md","evidence-library/skills/README.md","","f8cba1b9c6c2f5b892996b848083f23b9adc7077530997dca206259022b51868","498","f8cba1b9c6c2f5b892996b848083f23b9adc7077530997dca206259022b51868","498","documentation","automation","automation","content/microsoft-365/automation/documentation/cross-cutting-evidence-governance/evidence-library/skills/README.md","public-original","m365-evidence-governance","Published skills collection index containing Microsoft 365 evidence relationships. The tracked public artifact remains at its established route and is logically organized without moving or rewriting it."
"m365-cross-cutting-evidence-governance-cfebce8a8912e1e1","fontenotjeremy71-hub/jeremyfontenot","c88894f089e82dba5eb851c82aad703c1af34af2","evidence-library/evidence-source-map.csv","evidence-library/evidence-source-map.csv","","b363cdf85591fd794b7cd2a27a1e93d0bd5bc3bc7962761bb3f0081056d92b25","12198","b363cdf85591fd794b7cd2a27a1e93d0bd5bc3bc7962761bb3f0081056d92b25","12198","exports","automation","automation","content/microsoft-365/automation/evidence/exports/cross-cutting-evidence-governance/evidence-library/evidence-source-map.csv","public-original","m365-evidence-governance","Published cross-cutting evidence source map containing Microsoft 365 source relationships. The tracked public artifact remains at its established route and is logically organized without moving or rewriting it."
"m365-cross-cutting-evidence-governance-d8af469e4531d855","fontenotjeremy71-hub/jeremyfontenot","c88894f089e82dba5eb851c82aad703c1af34af2","evidence/public/index.html","evidence/public/index.html","","0e6f1900a0f3f4403aa4cfbaaaa01e5cb9b8d957cb0a04a65f7e0578e95b9a3c","6065","0e6f1900a0f3f4403aa4cfbaaaa01e5cb9b8d957cb0a04a65f7e0578e95b9a3c","6065","documentation","automation","automation|intune|entra-id","content/microsoft-365/automation/documentation/cross-cutting-evidence-governance/evidence/public/index.html","public-original","m365-evidence-governance","Established compatibility index for public Microsoft 365 and Intune evidence routes. The tracked public artifact remains at its established route and is logically organized without moving or rewriting it."
"m365-cross-cutting-evidence-governance-ee0be1d7ebc0a402","fontenotjeremy71-hub/jeremyfontenot","c88894f089e82dba5eb851c82aad703c1af34af2","evidence-file-list.csv","","","14884792983e885fe69de1603b5e0c41c2ce9b8eed8caf718c499cfae64bf1ac","10613","","","exports","automation","automation","content/microsoft-365/automation/evidence/exports/cross-cutting-evidence-governance/evidence-file-list.csv","metadata-only","m365-evidence-governance","Published cross-cutting physical file inventory containing Microsoft 365 artifacts. This repository-only source is cataloged as metadata and is not assigned a public route."
"m365-exchange-architecture-4380c30e4b1b6a5b","fontenotjeremy71-hub/jeremyfontenot","c88894f089e82dba5eb851c82aad703c1af34af2","evidence-library/architecture-diagrams/mail-flow-troubleshooting-preview.svg","evidence-library/architecture-diagrams/mail-flow-troubleshooting-preview.svg","","0b6f2b943fd4aa8c322dddca5334ae7399c3c56918bcfa32d2ad476add9b1dd7","3841","0b6f2b943fd4aa8c322dddca5334ae7399c3c56918bcfa32d2ad476add9b1dd7","3841","screenshots","exchange-online","exchange-online","content/microsoft-365/exchange-online/evidence/screenshots/exchange-architecture/evidence-library/architecture-diagrams/mail-flow-troubleshooting-preview.svg","public-original","m365-exchange-support-familiarity","Published Exchange Online mail-flow troubleshooting evidence preview. The tracked public artifact remains at its established route and is logically organized without moving or rewriting it."
"m365-exchange-automation-08095293afbba50e","fontenotjeremy71-hub/jeremyfontenot","c88894f089e82dba5eb851c82aad703c1af34af2","evidence/experience/remediation-disable-transportrule.patch","evidence/experience/remediation-disable-transportrule.patch","","b78838fecfbd22a7fad79945c04506b3667220d33788f5835c4855a90e661e37","341","b78838fecfbd22a7fad79945c04506b3667220d33788f5835c4855a90e661e37","341","documentation","exchange-online","exchange-online","content/microsoft-365/exchange-online/documentation/exchange-automation/evidence/experience/remediation-disable-transportrule.patch","public-original","m365-exchange-support-familiarity","Published transport-rule remediation change evidence. The tracked public artifact remains at its established route and is logically organized without moving or rewriting it."
